# Average monthly wind speeds at Dublin from 1961 (year 1) to 1978 (year 18).
# Source: http://lib.stat.cmu.edu/datasets/wind.data
# For more details: http://lib.stat.cmu.edu/datasets/wind.desc
year,month,month_seq,speed
1,1,1,11.185
1,2,2,11.891
1,3,3,9.644
1,4,4,6.925
1,5,5,7.525
1,6,6,9.096
1,7,7,8.553
1,8,8,10.094
1,9,9,8.206
1,10,10,11.194
1,11,11,10.719
1,12,12,11.754
2,1,13,14.212
2,2,14,16.916
2,3,15,10.223
2,4,16,11.48
2,5,17,10.106
2,6,18,10.549
2,7,19,7.782
2,8,20,11.137
2,9,21,8.488
2,10,22,8.448
2,11,23,9.615
2,12,24,13.736
3,1,25,12.797
3,2,26,12.729
3,3,27,12.168
3,4,28,11.979
3,5,29,12.281
3,6,30,9.267
3,7,31,7.715
3,8,32,9.857
3,9,33,9.374
3,10,34,11.334
3,11,35,11.901
3,12,36,11.607
4,1,37,9.593
4,2,38,12.822
4,3,39,10.772
4,4,40,10.994
4,5,41,11.367
4,6,42,9.547
4,7,43,8.964
4,8,44,8.203
4,9,45,9.156
4,10,46,8.184
4,11,47,11.129
4,12,48,12.537
5,1,49,13.851
5,2,50,9.251
5,3,51,12.145
5,4,52,12.272
5,5,53,9.182
5,6,54,9.255
5,7,55,8.527
5,8,56,10.726
5,9,57,8.296
5,10,58,8.787
5,11,59,13.396
5,12,60,11.627
6,1,61,12.15
6,2,62,13.261
6,3,63,13.188
6,4,64,13.755
6,5,65,9.68
6,6,66,7.656
6,7,67,7.642
6,8,68,7.206
6,9,69,7.303
6,10,70,7.934
6,11,71,11.816
6,12,72,15.567
7,1,73,9.787
7,2,74,13.088
7,3,75,17.43
7,4,76,11.84
7,5,77,10.462
7,6,78,7.167
7,7,79,7.078
7,8,80,7.748
7,9,81,9.478
7,10,82,12.704
7,11,83,8.983
7,12,84,12.128
8,1,85,12.396
8,2,86,8.495
8,3,87,12.453
8,4,88,8.96
8,5,89,6.975
8,6,90,6.462
8,7,91,5.817
8,8,92,6.753
8,9,93,9.476
8,10,94,8.358
8,11,95,10.813
8,12,96,9.339
9,1,97,9.883
9,2,98,10.984
9,3,99,9.193
9,4,100,9.383
9,5,101,6.309
9,6,102,6.446
9,7,103,7.855
9,8,104,7.07
9,9,105,7.12
9,10,106,8.484
9,11,107,10.166
9,12,108,10.077
10,1,109,9.843
10,2,110,11.838
10,3,111,12.161
10,4,112,11.172
10,5,113,8.982
10,6,114,6.946
10,7,115,10.147
10,8,116,5.987
10,9,117,8.184
10,10,118,10.875
10,11,119,10.266
10,12,120,9.074
11,1,121,10.297
11,2,122,8.684
11,3,123,9.062
11,4,124,6.688
11,5,125,5.876
11,6,126,7.273
11,7,127,5.978
11,8,128,7.451
11,9,129,6.003
11,10,130,10.073
11,11,131,11.062
11,12,132,12.131
12,1,133,11.287
12,2,134,10.277
12,3,135,9.938
12,4,136,11.351
12,5,137,10.773
12,6,138,8.804
12,7,139,6.308
12,8,140,8.524
12,9,141,6.846
12,10,142,9.021
12,11,143,10.761
12,12,144,12.567
13,1,145,10.739
13,2,146,10.944
13,3,147,8.374
13,4,148,10.936
13,5,149,9.048
13,6,150,7.228
13,7,151,6.79
13,8,152,6.051
13,9,153,7.053
13,10,154,6.456
13,11,155,7.526
13,12,156,10.841
14,1,157,14.112
14,2,158,9.819
14,3,159,8.52
14,4,160,5.439
14,5,161,9.681
14,6,162,7.994
14,7,163,9.643
14,8,164,7.324
14,9,165,9.063
14,10,166,10.829
14,11,167,11.767
14,12,168,16.603
15,1,169,13.18
15,2,170,7.433
15,3,171,9.51
15,4,172,8.556
15,5,173,6.039
15,6,174,5.549
15,7,175,7.812
15,8,176,5.74
15,9,177,9.58
15,10,178,8.878
15,11,179,9.996
15,12,180,10.351
16,1,181,15.121
16,2,182,10.521
16,3,183,12.388
16,4,184,9.78
16,5,185,9.308
16,6,186,8.206
16,7,187,6.995
16,8,188,5.437
16,9,189,8.618
16,10,190,6.38
16,11,191,9.058
16,12,192,8.035
17,1,193,10.107
17,2,194,10.95
17,3,195,14.283
17,4,196,13.888
17,5,197,9.226
17,6,198,8.8
17,7,199,9.962
17,8,200,8.944
17,9,201,11.939
17,10,202,12.925
17,11,203,14.051
17,12,204,13.232
18,1,205,12.207
18,2,206,11.903
18,3,207,12.129
18,4,208,8.586
18,5,209,5.421
18,6,210,7.928
18,7,211,7.832
18,8,212,5.65
18,9,213,10.79
18,10,214,8.115
18,11,215,11.492
18,12,216,12.077
